"","date","column","depth","increment","variety","moisture","N2O","SP","d18O","N2ONvolume","N2ONarea","N2O_measurement","N2O_derivative","N2ONvolume_measurement","N2ONvolume_derivative","N2ONarea_measurement","N2ONarea_derivative","SP_measurement","SP_derivative","d18O_measurement","d18O_derivative","theta_w","theta_a","Ds","dCdZ","F","F_top_in","F_top_out","F_bottom_in","F_bottom_out","F_out","SP_bottom","d18O_bottom","SP_top","d18O_top","Nitrification","Denitrification","Reduction","Nitrification_2.5%","Denitrification_2.5%","Reduction_2.5%","Nitrification_25%","Denitrification_25%","Reduction_25%","Nitrification_50%","Denitrification_50%","Reduction_50%","Nitrification_75%","Denitrification_75%","Reduction_75%","Nitrification_97.5%","Denitrification_97.5%","Reduction_97.5%"
"604",2015-09-06,"1",7.5,15,"Zinal",0.242853125,0.559575341797147,0.36508699554449,40.5477092321421,0.641189620654776,0.137294114835483,NA,0.000261352820167233,NA,0.000299471259082605,NA,8.16495445506949e-05,NA,0.194382134871173,NA,0.0140397166435189,0.242853125,0.332405828578838,3.23228344106326e-06,4.13300455729529e-06,14.5431876923175,0,14.5431876923175,0.657126400493831,0,14.5431876923175,-1.03663467491197,36.6575364282864,15.1,49.6,-2.45273138504211,25.1417975863396,40.7754968756442,-4.13228052045963,15.0630749333103,22.1578191195568,-2.94921001775659,21.1092822561514,33.322294933081,-2.34025568598514,24.467472272714,39.5301145055,-1.78922981314726,28.1598930616744,46.3469112914002,-0.798421569513601,35.3683376255318,59.6704122584124
"664",2015-09-07,"1",7.5,15,"Zinal",0.242954167,0.560753605989909,0.369234570782017,40.5691703837544,0.642539735133306,0.137652353912444,NA,0.000262029767041311,NA,0.000300246890134345,NA,8.18741622063534e-05,NA,0.233436254788652,NA,0.0142617618918888,0.242954167,0.332128067894191,3.223289459994e-06,4.14871474653212e-06,14.5578476697899,0,14.5578476697899,0.639521221997391,0,14.5578476697899,-1.03003088360198,36.6699084229848,15.1,49.6,-1.77035234538643,20.969793744913,33.0873527810244,-3.66249939673205,7.76192394624107,8.65075873871316,-2.76270088985529,13.9309097065475,20.0795922016219,-1.93521332448398,21.9616350148248,34.9208205833985,-0.613930632538219,27.0134984426278,44.263965119663,0.402273005300785,32.4686325593803,54.3471613565281
"724",2015-09-08,"1",7.5,15,"Zinal",0.24255,0.561932809692026,0.376763663089307,40.5914655318551,0.64389092614899,0.13801086210082,0.406812453,0.000262694631635208,0.466146205761991,0.00030100872465219,0.0847618712289601,8.20951771790746e-05,NA,0.276927017562107,NA,0.0144845117627049,0.24255,0.333239107883817,3.25937069342143e-06,4.16443746256034e-06,14.7765956220892,0,14.7765956220892,0.639544976289781,0,14.7765956220892,-1.02025745326587,36.6877895464251,15.1,49.6,-1.84913228097865,21.6026446484827,34.2043315321901,-3.16886587930233,13.9720070599321,20.0932505743028,-2.305862522431,17.9794794729838,27.5063094033409,-2.12729821648073,23.3089015062991,37.3567915622424,-1.25034383230027,24.3801794580846,39.3428373220591,-0.596807729806278,29.6401614423944,49.0734606875172
"784",2015-09-09,"1",7.5,15,"Zinal",0.24255,0.563112815037161,0.390426459117302,40.6145865812499,0.645243035727636,0.138369600949518,NA,0.000263347294776204,NA,0.000301756579293498,NA,8.23124771714894e-05,NA,0.324325029743278,NA,0.0147077614989031,0.24255,0.333239107883817,3.25937069342143e-06,4.18017086716215e-06,14.832422167607,0,14.832422167607,0.616598885198213,0,14.832422167607,-1.00586803138702,36.7135573928246,15.1,49.6,-1.52853986708855,19.6860830952177,30.6692990829754,-3.12976553866482,9.9613548452451,12.6639442559555,-2.0031723730433,17.8639153161976,27.2954852691445,-1.61434837104225,20.189319699342,31.6042079550474,-1.23104802765044,22.5682634603048,36.0040822645458,0.064869811952996,29.5654013321963,48.9482287022603
"844",2015-09-10,"1",7.5,15,"Zinal",0.240983854,0.564293482759159,0.415199518878999,40.6385244044065,0.646595904291065,0.138728531623942,NA,0.000263987499784601,NA,0.000302490206545698,NA,8.25260392657676e-05,NA,0.374779612214625,NA,0.0149313192507418,0.240983854,0.337544384751037,3.40185833906355e-06,4.19591310345546e-06,15.5391406525697,0,15.5391406525697,0.637036842484719,0,15.5391406525697,-0.984825879260605,36.7505231630193,15.1,49.6,-1.90505321449169,22.5119362555383,35.6780717853962,-3.37332683151898,7.58387838013644,8.06012139791277,-2.73372655092176,18.6688587138995,28.54956295774,-2.32484679383221,25.0876337496339,40.4388851042334,-1.27616064151207,27.5781794011987,45.0549211386559,0.539930460966578,31.4743498654896,52.27210690526
"904",2015-09-11,"1",7.5,15,"Zinal",0.240125,0.565474672222443,0.460040998794613,40.6632688636225,0.647949370691947,0.139087614914423,NA,0.000264615145821943,NA,0.00030320938639762,NA,8.27357672070214e-05,NA,0.427115244662122,NA,0.0151549767409783,0.240125,0.339905342323651,3.48181946678364e-06,4.21166229629924e-06,15.9640866931747,0,15.9640866931747,0.636364805060792,0,15.9640866931747,-0.954329749727526,36.8031948917622,15.1,49.6,-1.37386089997677,19.6552686492542,30.257927733338,-3.41614136227765,8.48676836233939,9.5433317516551,-2.0602187760199,14.2213007999804,20.1792215792762,-1.43293739864862,20.0154018597806,30.9297373057402,-0.48704891973577,23.8517514120405,38.0401494798928,0.44758223411888,32.1973965689319,53.522848630374
"964",2015-09-12,"1",7.5,15,"Zinal",0.242499479,0.566656241453388,0.540938846288039,40.688808834508,0.64930327224975,0.13944681124492,NA,0.000265229912038605,NA,0.000303913779665375,NA,8.29416059924579e-05,NA,0.47985776386389,NA,0.0153785221721913,0.242499479,0.333377988226141,3.26390064666319e-06,4.22741655271185e-06,15.0209106059575,0,15.0209106059575,0.563474853111954,0,15.0209106059575,-0.910652596280451,36.8775029084915,15.1,49.6,-1.75249491681469,21.5002149907398,34.1229526461704,-3.63720605378774,9.12979822014247,11.1383650836633,-2.706353276011,17.8474251844304,27.3373784764084,-1.59579757649302,20.5263436635805,32.3140662318317,-1.16099031301531,27.4096776182235,45.1043123840296,0.240459044709408,33.1720088343096,55.8095554409599
"1024",2015-09-13,"1",7.5,15,"Zinal",0.240125,0.567838047172641,0.685974351312773,40.7151322305438,0.65065744478777,0.139806080681975,NA,0.000265831651760474,NA,0.000304603285510507,NA,8.31435097864163e-05,NA,0.53129217096554,NA,0.0156017273194588,0.240125,0.339905342323651,3.48181946678364e-06,4.24317396230188e-06,16.0835300227965,0,16.0835300227965,0.613928206066339,0,16.0835300227965,-0.849063670587858,36.9808474593994,15.1,49.6,-1.87513564469785,23.4764016104522,37.4959612759641,-3.60199008145517,10.3540505440993,13.0568230873272,-2.84057809058934,19.7906089014211,30.6325574526585,-1.60512574221767,21.7689406487992,34.3223772837878,-1.28825273929433,29.5499686875082,48.803036576836,0.21038187746462,34.3523405246961,57.7476794208662
"1084",2015-09-14,"1",7.5,15,"Zinal",0.238053646,0.569019944828388,0.943020726853932,40.742226028475,0.652011722671258,0.140165382943935,NA,0.000266420108307848,NA,0.000305277601417657,NA,8.3341380042226e-05,NA,0.579549899938166,NA,0.0158243463569646,0.238053646,0.345599417116182,3.680065646017e-06,4.25893259771183e-06,17.0624196941835,0,17.0624196941835,0.62689858288384,0,17.0624196941835,-0.763953437990542,37.1217188351311,15.1,49.6,-1.50179566127838,22.6483800279266,35.7552455254281,-4.03276227793925,12.1466930665694,16.1233366539773,-2.24545030616296,15.7919961539499,22.9380094393804,-1.24834068323601,20.9948929719455,32.6617078125836,-0.447551811896116,27.4924005427888,44.810167826427,0.112663159957338,39.117259859939,66.5413239398699
"1144",2015-09-15,"1",7.5,15,"Zinal",0.240579688,0.570201788630558,1.38926058220076,40.7700762943093,0.653365938846605,0.14052467741042,NA,0.000266995180842274,NA,0.000305936544044181,NA,8.35352007174056e-05,NA,0.62271938312932,NA,0.0160461375657683,0.240579688,0.338655421991701,3.43932506845484e-06,4.27469051507411e-06,16.005239982397,0,16.005239982397,0.586423505422786,0,16.005239982397,-0.649317262072001,37.3085446694892,15.1,49.6,-1.15357972786745,20.9894607171254,33.3417214937033,-2.33583133833737,11.699955727044,15.8620731075571,-1.56770752366802,19.3398095206582,30.2587092610072,-1.27214218212295,21.8105880826736,34.8827630640188,-0.921148109911831,23.8540488297939,38.728051788452,0.191369021460526,29.1523331010783,48.6961317420625
"1204",2015-09-16,"1",7.5,15,"Zinal",0.237851563,0.571383431585962,2.13651231604378,40.7986682096954,0.654719924881607,0.140883923132056,0.361124518,0.000267556631018316,0.413794667867081,0.000306579810874717,0.0781587918474061,8.37248365967559e-05,NA,0.658970433588915,NA,0.0162668386925529,0.237851563,0.346154935736515,3.69981994806216e-06,4.2904457544795e-06,17.2809372270346,0,17.2809372270346,0.605956807043833,0,17.2809372270346,-0.499722487175435,37.5474769356373,15.1,49.6,-0.684373367498724,21.4705486847059,34.2226144942241,-2.68660294916989,9.12885630056659,10.7670034352367,-1.1401871365031,16.3269797844726,24.4498688833164,-0.692333690522156,21.5454859244094,34.3681728358239,-0.0203044241135584,25.001534193522,40.931057855089,0.905236725179391,36.9921267867389,63.7249050521952
"1263",2015-09-17,"1",7.5,15,"Zinal",0.237649479,0.572564725534332,3.31474630851135,40.827986098466,0.656073511006764,0.14124307884045,NA,0.000268104156320612,NA,0.00030720729190368,NA,8.39103060145412e-05,NA,0.686680894426898,NA,0.0164861780968586,0.237649479,0.346710457105809,3.71964846006469e-06,4.30619634045775e-06,17.437331029549,0,17.437331029549,0.596587356291428,0,17.437331029549,-0.311711920896008,37.8392678859945,15.1,49.6,-0.209342954321858,23.3492758208182,38.5562212412144,-1.10046095160574,12.5877949231438,17.7619335723745,-0.53649094324179,20.805166778953,33.6440685062815,-0.24023126283409,23.634346292851,39.1034084670265,0.049302431379231,26.5325514603748,44.7066164741801,0.891389231686545,32.093367330316,55.4502423394285
"1322",2015-09-18,"1",7.5,15,"Zinal",0.23830625,0.573745521185275,5.00593855875225,40.8580134531465,0.657426526157624,0.141602102958412,NA,0.000268637720080635,NA,0.000307818675448577,NA,8.40914943816096e-05,NA,0.704553444101076,NA,0.0167038759244747,0.23830625,0.344905018153527,3.6554767221803e-06,4.32194028247034e-06,17.1991534831216,0,17.1991534831216,0.54106806604581,0,17.1991534831216,-0.0852733493126683,38.1762908881264,15.1,49.6,1.10164809011343,19.000686628544,31.2952219664923,0.65750427731175,7.97541160403947,9.46120855995186,0.883935454106712,14.5474432644994,22.4767133701097,0.998766482014304,20.6872247292684,34.6350276647974,1.37268199573095,22.5439505053754,38.3128629846451,1.77223051150826,26.3057212830163,45.7620854051043
"1381",2015-09-19,"1",7.5,15,"Zinal",0.23588125,0.574925668156118,7.13085192325731,40.888732961239,0.658778798018141,0.14196095361043,NA,0.000269157065618683,NA,0.000308413741498236,NA,8.42683375280358e-05,NA,0.711711390748032,NA,0.0169196411739583,0.23588125,0.351571252593361,3.89633295847888e-06,4.3376755754149e-06,18.3991354568705,0,18.3991354568705,0.592613012313965,0,18.3991354568705,0.175303671657035,38.5416370768136,15.1,49.6,2.53691442356522,18.2407251897343,30.7611373205732,2.50243772422657,7.63454236761073,9.04491098449187,2.51243243755,13.1645072616556,20.3681231363671,2.54014637615284,17.3313651644693,28.8922070591417,2.55351531698167,25.1921761710422,44.9919757560149,2.57329114432838,28.6004836568293,51.9742846252708
"1440",2015-09-20,"1",7.5,15,"Zinal",0.233809896,0.576105015010618,9.39271421268695,40.9201265311117,0.660130153065039,0.142319588633373,NA,0.000269662000424982,NA,0.00030899233421141,NA,8.44408056606405e-05,NA,0.707764541621185,NA,0.017133175216812,0.233809896,0.357265327385892,4.11068164803423e-06,4.35340020014157e-06,19.4816943155642,0,19.4816943155642,0.603349292203841,0,19.4816943155642,0.461825194527367,38.9118916750295,15.1,49.6,4.34327917681312,20.713695711889,37.3603095546816,3.59541720655847,9.36365579246307,13.2087183239656,4.1386310500758,17.5751828835155,30.6866182926256,4.35643732957339,21.0222765907407,38.0351034131685,4.61194309644214,24.7992815628927,46.0576333088506,4.91435156939296,29.3414924132906,55.718889414782
"1499",2015-09-21,"1",7.5,15,"Zinal",0.232597396,0.57728340929855,11.4085452411389,40.9521753173406,0.661480416613169,0.142677965587436,NA,0.000270152377825416,NA,0.000309554215242663,NA,8.46088254423664e-05,NA,0.692839360095439,NA,0.0173441665172168,0.232597396,0.360598444605809,4.23991141326658e-06,4.36911212398067e-06,20.1666731909646,0,20.1666731909646,0.604235472059825,0,20.1666731909646,0.763922073899813,39.2630671443339,15.1,49.6,5.71302781624405,17.5798430611721,32.1645784605584,4.50718056625789,8.74863561306215,12.6476502598084,5.36276392205417,15.0353240200316,26.5400312351366,5.82355444766453,18.3857010756603,33.9484100395479,6.32415003551659,22.0434900498219,42.0302094199256,6.54727249408407,23.6985768418154,45.6867999666095
"1558",2015-09-22,"1",7.5,15,"Zinal",0.230425,0.578460697596131,12.9346920878758,40.9848597453653,0.662829412861829,0.143036041767313,NA,0.000270627950307418,NA,0.000310099109578031,NA,8.47723327032884e-05,NA,0.667571320058952,NA,0.0175523041260498,0.230425,0.366570280082988,4.47851721753928e-06,4.38480930128174e-06,21.3781069832702,0,21.3781069832702,0.616554471140695,0,21.3781069832702,1.07142321756013,39.5767757458027,15.1,49.6,7.26170196441097,18.0755113037507,34.3653154479717,5.49367145290837,9.07849408533469,13.8484134203563,6.40378420599888,13.689787240688,24.3738751547547,7.16641115994296,17.5797336846306,33.238298776318,8.2948844269938,23.3503709622133,46.3947328181267,9.1328644803124,27.5906670096595,56.0593300109541
"1617",2015-09-23,"1",7.5,15,"Zinal",0.235123438,0.579636725547273,13.9471384214354,41.0181595353473,0.664176964942038,0.143393774213601,0.388422765,0.000271088488692684,0.445074374693076,0.000310626824707738,0.0858883255323137,8.49312678570474e-05,NA,0.633061043825905,NA,0.0177572465859726,0.235123438,0.353654449481328,3.97382195462137e-06,4.40048967396364e-06,19.0367891034853,0,19.0367891034853,0.531149152838047,0,19.0367891034853,1.37635168068446,39.8435519322875,15.1,49.6,6.98376404786622,14.8581459144542,28.6915837599657,3.91843491611199,2.2294998795773,-0.775120312803196,6.21197022045342,11.5884644910602,21.0679250626802,7.07110411389715,15.2123407352983,29.5160857779819,8.08741885687986,19.4508372741959,39.4034494672656,9.14263833586589,23.8637005386503,49.7034912628154
"1676",2015-09-24,"1",7.5,15,"Zinal",0.23285,0.580811337905657,14.5538045537887,41.0520537251327,0.665522894964741,0.14375111972442,NA,0.000271533937978421,NA,0.000311137296461859,NA,8.50855713172845e-05,NA,0.590799273706699,NA,0.0179586653469686,0.23285,0.359904045643153,4.21275737129256e-06,4.41615117207543e-06,20.2532473333364,0,20.2532473333364,0.563772015175742,0,20.2532473333364,1.67387651325723,40.062462920388,15.1,49.6,8.2402357177916,16.9020926600239,33.7470647173202,5.4780767307795,6.53620706141369,9.22720688396784,6.77548855456007,11.3946716594728,20.7295476156265,8.86574709884097,19.2525016822041,39.3028507876225,9.63111309434813,22.1253564025581,46.0933753026298,10.2606439209214,24.4870044011567,51.6843706935553
"1735",2015-09-25,"1",7.5,15,"Zinal",0.230627083,0.581984378577593,14.8866825723474,41.0865206922485,0.666867024069922,0.144108034867258,NA,0.000271964123989117,NA,0.00031163016732224,NA,8.52352270415183e-05,NA,0.542568374766451,NA,0.0181562195383958,0.230627083,0.366014761462656,4.45593446770091e-06,4.43179171436791e-06,21.4982160926613,0,21.4982160926613,0.574095869187358,0,21.4982160926613,1.96221067374721,40.238400873809,15.1,49.6,7.82165972092851,13.5715581674048,25.8112296835187,5.72425234607915,6.1185673474937,8.02857847258819,6.38847717616309,8.48382455819088,13.672959972981,7.7005283026018,13.1494692879421,24.8044935247043,8.82681788881016,17.1072441041084,34.2630312117703,10.6497277808786,23.625050445982,49.7904506504527
"1794",2015-09-26,"1",7.5,15,"Zinal",0.22739375,0.583155690665658,15.0502535514562,41.1215381748789,0.668209172476609,0.144464475991014,NA,0.00027237886338213,NA,0.000312105363951823,NA,8.53801456502105e-05,NA,0.490329902809246,NA,0.0183495436483608,0.22739375,0.37490307313278,4.8269492695936e-06,4.44740920887544e-06,23.370290619938,0,23.370290619938,0.604931122734418,0,23.370290619938,2.24187970003987,40.3789913541495,15.1,49.6,9.01130995801684,16.1074307145431,31.4965181224631,7.66103711980396,11.4391430451474,20.3045575698707,8.06754446567015,12.8414926472608,23.6701486578674,8.57623816110078,14.6288293496259,27.9547925568522,9.79118261716702,18.8097268926581,37.9745362563197,11.1240403518174,23.4246951706344,49.0304645685143
"1853",2015-09-27,"1",7.5,15,"Zinal",0.225473958,0.584325116513088,15.1135266351759,41.1570832917922,0.66954915953374,0.144820399238262,NA,0.000272777908644892,NA,0.000312562666339438,NA,8.55202492227375e-05,NA,0.436108361915561,NA,0.0185382938727393,0.225473958,0.380180509647303,5.05718112825731e-06,4.46300155350785e-06,24.5708304008082,0,24.5708304008082,0.627237525472269,0,24.5708304008082,2.51483261493688,40.4922833984482,15.1,49.6,8.45045959654521,13.2901215359475,24.4633068761623,5.79308648194529,4.16915734385087,2.55065848349616,8.16608122810678,12.3181361143599,22.1359311533801,8.5797225354334,13.7391715272674,25.5374867964976,8.98957468379221,15.1371322704448,28.8969275524212,10.3816050654538,19.921074399466,40.4111032531358
"1912",2015-09-28,"1",7.5,15,"Zinal",0.223655208,0.585492497748912,15.1181039906283,41.1931325612117,0.670886803771875,0.145175760557707,NA,0.000273161177273213,NA,0.000313001781136855,NA,8.56555148412691e-05,NA,0.381880840091509,NA,0.0187220900322264,0.223655208,0.385180185477178,5.2822846607982e-06,4.47856663665216e-06,25.7540259865617,0,25.7540259865617,0.63218694024723,0,25.7540259865617,2.78369013596876,40.5854701725673,15.1,49.6,9.38696900435392,15.8535468752308,30.2920542990244,7.46029600782736,9.21474735804961,14.3267259741045,8.7843942428514,13.7890478498925,25.3174470889456,9.34791633662606,15.723318326955,29.9766190797709,9.7100508286252,16.9638773797359,32.9628389215557,11.7301432498504,23.8973885472159,49.6454561325924
"1971",2015-09-29,"1",7.5,15,"Zinal",0.230576563,0.586657675333781,15.0879011913356,41.2296619186423,0.672221922955716,0.145530515716833,NA,0.000273528412587392,NA,0.000313422644174148,NA,8.57859012537105e-05,NA,0.329480703191932,NA,0.0189005713085004,0.230576563,0.366153639056016,4.46157258063137e-06,4.49410233778375e-06,21.8280634649199,0,21.8280634649199,0.526124888468423,0,21.8280634649199,3.05123111801439,40.6644036286938,15.1,49.6,8.64706310086281,16.0029868737069,31.8426960451378,6.11775838430133,7.21908660003345,10.7373336555111,6.71131231510022,9.29724874212224,15.714400814255,8.89454000582901,16.8652235958716,33.9208168103396,9.8757482388255,20.2604120600947,42.0754133489458,11.5167222426628,25.9235045732329,55.7098821258313
"2030",2015-09-30,"1",7.5,15,"Zinal",0.226029688,0.587820489606508,15.0363849290795,41.2666467336896,0.67355433413743,0.145884620314746,0.349819457,0.00027387956875177,0.400840759371419,0.000313824989604486,0.0828200523516651,8.59113236640893e-05,NA,0.280521268938043,NA,0.0190733598690425,0.226029688,0.378652828630705,4.98976172115997e-06,4.50960652808677e-06,24.4964270817985,0,24.4964270817985,0.553822178650664,0,24.4964270817985,3.32009971747196,40.7335707394301,15.1,49.6,8.56870380846902,14.308153945191,26.9293082079353,6.59216840083247,7.3925082663058,10.2965672848855,7.40727331593762,10.245521936611,17.1578501498752,8.30866656537518,13.3878117496662,24.7182294842436,9.6363030105233,18.0668004340905,35.96701249098,10.6789861679746,21.7214279732252,44.7567700498202
