"","date","column","depth","increment","variety","moisture","N2O","SP","d18O","N2ONvolume","N2ONarea","N2O_derivative","N2ONvolume_derivative","N2ONarea_derivative","SP_derivative","d18O_derivative","theta_w","theta_a","Ds","dCdZ","F","F_top_in","F_top_out","F_bottom_in","F_bottom_out","F_out","SP_bottom","d18O_bottom","SP_top","d18O_top","Nitrification_2.5%","Denitrification_2.5%","Reduction_2.5%","Nitrification_25%","Denitrification_25%","Reduction_25%","Nitrification_50%","Denitrification_50%","Reduction_50%","Nitrification_75%","Denitrification_75%","Reduction_75%","Nitrification_97.5%","Denitrification_97.5%","Reduction_97.5%"
"604",2015-09-06,"1",7.5,15,"Zinal",0.242853125,0.559575341797147,0.36508699554449,40.5477092321421,0.641189620654776,0.137294114835483,0.000261352820167233,0.000299471259082605,8.16495445506949e-05,0.194382134871173,0.0140397166435189,0.242853125,0.332405828578838,3.23228344106326e-06,4.13300455729529e-06,14.5431876923175,0,14.5431876923175,0.657126400493831,0,14.5431876923175,-1.03663467491197,36.6575364282864,15.1,49.6,-3.70847771462434,17.6745911106688,25.0061018581603,-3.63076177541482,17.7448796240893,25.1295710559474,-2.98026547943368,23.9138096963182,36.241733343772,-1.75254951684657,27.1862073271255,42.1389298776378,-1.73873141180318,27.5741615109263,42.835853421905
"664",2015-09-07,"1",7.5,15,"Zinal",0.242954167,0.560753605989909,0.369234570782017,40.5691703837544,0.642539735133306,0.137652353912444,0.000262029767041311,0.000300246890134345,8.18741622063534e-05,0.233436254788652,0.0142617618918888,0.242954167,0.332128067894191,3.223289459994e-06,4.14871474653212e-06,14.5578476697899,0,14.5578476697899,0.639521221997391,0,14.5578476697899,-1.03003088360198,36.6699084229848,15.1,49.6,-4.21249378145665,10.8378757399901,12.7024405450085,-3.82564562277634,11.2959522715355,13.5216614127355,-3.45040211401265,26.2626473326645,40.5066408510193,-0.466277167831728,28.2279259652499,44.0356218413303,-0.375107409374574,30.1001978792638,47.4184255451586
"724",2015-09-08,"1",7.5,15,"Zinal",0.24255,0.561932809692026,0.376763663089307,40.5914655318551,0.64389092614899,0.13801086210082,0.000262694631635208,0.00030100872465219,8.20951771790746e-05,0.276927017562107,0.0144845117627049,0.24255,0.333239107883817,3.25937069342143e-06,4.16443746256034e-06,14.7765956220892,0,14.7765956220892,0.639544976289781,0,14.7765956220892,-1.02025745326587,36.6877895464251,15.1,49.6,-3.02111393338379,12.5997762599015,15.7954921276328,-2.72861116828735,14.7029861467329,19.5838185188005,-1.61217487380108,17.1674819131194,24.0292340250481,-1.1218973516572,22.7711797791385,34.1416387538192,-0.702338142006103,24.2286107755309,36.7630193524021
"784",2015-09-09,"1",7.5,15,"Zinal",0.24255,0.563112815037161,0.390426459117302,40.6145865812499,0.645243035727636,0.138369600949518,0.000263347294776204,0.000301756579293498,8.23124771714894e-05,0.324325029743278,0.0147077614989031,0.24255,0.333239107883817,3.25937069342143e-06,4.18017086716215e-06,14.832422167607,0,14.832422167607,0.616598885198213,0,14.832422167607,-1.00586803138702,36.7135573928246,15.1,49.6,-4.62621707610613,19.3013989283557,27.8848605720329,-3.79973407092571,19.681149368938,28.5706090907753,-3.2084126319405,25.2110099091268,38.55389456171,-2.10662473985585,28.1955398035352,43.9364792537818,-2.02984481240364,32.3735437702752,51.4548069151912
"844",2015-09-10,"1",7.5,15,"Zinal",0.240983854,0.564293482759159,0.415199518878999,40.6385244044065,0.646595904291065,0.138728531623942,0.000263987499784601,0.000302490206545698,8.25260392657676e-05,0.374779612214625,0.0149313192507418,0.240983854,0.337544384751037,3.40185833906355e-06,4.19591310345546e-06,15.5391406525697,0,15.5391406525697,0.637036842484719,0,15.5391406525697,-0.984825879260605,36.7505231630193,15.1,49.6,-2.57164665948252,12.4113891990108,15.1405240266878,-2.37026648093301,15.4358354287278,20.6038233382685,-1.88356847829756,19.0294440929202,27.0930449012462,-1.17012966116086,21.4980715525712,31.5454861849474,-0.567498516484354,22.4972819270501,33.352441479505
"904",2015-09-11,"1",7.5,15,"Zinal",0.240125,0.565474672222443,0.460040998794613,40.6632688636225,0.647949370691947,0.139087614914423,0.000264615145821943,0.00030320938639762,8.27357672070214e-05,0.427115244662122,0.0151549767409783,0.240125,0.339905342323651,3.48181946678364e-06,4.21166229629924e-06,15.9640866931747,0,15.9640866931747,0.636364805060792,0,15.9640866931747,-0.954329749727526,36.8031948917622,15.1,49.6,-3.65673102039492,10.4025479619919,11.3317068597605,-2.69791803198699,16.4020984221355,22.1779416962204,-1.66467688071506,18.2682934106998,25.5490434377513,-1.29678391003239,23.4929532604925,35.0015015844106,-0.107510278403543,28.3382695838223,43.7557477390107
"964",2015-09-12,"1",7.5,15,"Zinal",0.242499479,0.566656241453388,0.540938846288039,40.688808834508,0.64930327224975,0.13944681124492,0.000265229912038605,0.000303913779665375,8.29416059924579e-05,0.47985776386389,0.0153785221721913,0.242499479,0.333377988226141,3.26390064666319e-06,4.22741655271185e-06,15.0209106059575,0,15.0209106059575,0.563474853111954,0,15.0209106059575,-0.910652596280451,36.8775029084915,15.1,49.6,-5.97124158373005,18.2530816993162,26.0054441025021,-4.70983408832597,25.1544544413882,38.4891535550444,-3.1247916272299,25.2842007732668,38.7293415257151,-3.10125358583056,33.3503458480149,53.317990382136,-1.74607496425769,39.7881117984425,64.9650804805063
"1024",2015-09-13,"1",7.5,15,"Zinal",0.240125,0.567838047172641,0.685974351312773,40.7151322305438,0.65065744478777,0.139806080681975,0.000265831651760474,0.000304603285510507,8.31435097864163e-05,0.53129217096554,0.0156017273194588,0.240125,0.339905342323651,3.48181946678364e-06,4.24317396230188e-06,16.0835300227965,0,16.0835300227965,0.613928206066339,0,16.0835300227965,-0.849063670587858,36.9808474593994,15.1,49.6,-4.2420823329851,15.814328759919,21.1333775867888,-3.80238389407655,27.2799771747664,41.9083709659147,-3.53155748868833,28.5224228441957,44.1487106951589,-3.29287288686801,29.9292012589574,46.6925477653195,-1.07584663879346,32.1554321500671,50.7331453056488
"1084",2015-09-14,"1",7.5,15,"Zinal",0.238053646,0.569019944828388,0.943020726853932,40.742226028475,0.652011722671258,0.140165382943935,0.000266420108307848,0.000305277601417657,8.3341380042226e-05,0.579549899938166,0.0158243463569646,0.238053646,0.345599417116182,3.680065646017e-06,4.25893259771183e-06,17.0624196941835,0,17.0624196941835,0.62689858288384,0,17.0624196941835,-0.763953437990542,37.1217188351311,15.1,49.6,-3.24684290291654,11.7391605789195,13.3381671668223,-2.19878765732611,21.589388646765,31.2068804121511,-2.17488950248288,22.8680518859712,33.5282815243967,-1.93092460916586,23.0105066593653,33.7826859149528,-0.0877770990757137,28.5876562435809,43.9022606247717
"1144",2015-09-15,"1",7.5,15,"Zinal",0.240579688,0.570201788630558,1.38926058220076,40.7700762943093,0.653365938846605,0.14052467741042,0.000266995180842274,0.000305936544044181,8.35352007174056e-05,0.62271938312932,0.0160461375657683,0.240579688,0.338655421991701,3.43932506845484e-06,4.27469051507411e-06,16.005239982397,0,16.005239982397,0.586423505422786,0,16.005239982397,-0.649317262072001,37.3085446694892,15.1,49.6,-2.3781196405994,16.7613040951224,23.0188905620432,-2.28350085372162,16.82673617211,23.135602520265,-1.24842456768836,18.4275618790292,26.0451318406006,-0.963860028937611,24.2735001194632,36.6769825203274,-0.954803215080893,24.7937351027966,37.6269634582839
"1204",2015-09-16,"1",7.5,15,"Zinal",0.237851563,0.571383431585962,2.13651231604378,40.7986682096954,0.654719924881607,0.140883923132056,0.000267556631018316,0.000306579810874717,8.37248365967559e-05,0.658970433588915,0.0162668386925529,0.237851563,0.346154935736515,3.69981994806216e-06,4.2904457544795e-06,17.2809372270346,0,17.2809372270346,0.605956807043833,0,17.2809372270346,-0.499722487175435,37.5474769356373,15.1,49.6,-1.61623825042437,13.1060357132684,15.8902936230025,-0.973473834218236,19.1273079739621,26.8642948178184,-0.812763838608189,19.1402763420503,26.8905645237511,-0.809689066453418,20.1486372277864,28.7279848870783,0.147333280442933,24.1999299426376,36.1160158070246
"1263",2015-09-17,"1",7.5,15,"Zinal",0.237649479,0.572564725534332,3.31474630851135,40.827986098466,0.656073511006764,0.14124307884045,0.000268104156320612,0.00030720729190368,8.39103060145412e-05,0.686680894426898,0.0164861780968586,0.237649479,0.346710457105809,3.71964846006469e-06,4.30619634045775e-06,17.437331029549,0,17.437331029549,0.596587356291428,0,17.437331029549,-0.311711920896008,37.8392678859945,15.1,49.6,-1.46797243034763,7.90583279236538,6.42092961952325,-1.21759702328374,23.3193684051599,34.6900095435765,-0.856923133745707,24.8854317519861,37.5751064695582,-0.656816658374161,27.6584608703828,42.6547907901581,1.3300427403097,29.5967419250246,46.2148273074222
"1322",2015-09-18,"1",7.5,15,"Zinal",0.23830625,0.573745521185275,5.00593855875225,40.8580134531465,0.657426526157624,0.141602102958412,0.000268637720080635,0.000307818675448577,8.40914943816096e-05,0.704553444101076,0.0167038759244747,0.23830625,0.344905018153527,3.6554767221803e-06,4.32194028247034e-06,17.1991534831216,0,17.1991534831216,0.54106806604581,0,17.1991534831216,-0.0852733493126683,38.1762908881264,15.1,49.6,-0.293555485855611,17.412975471405,24.2845769756477,-0.106836436458153,19.7573923027002,28.6105469783709,0.0358392496188828,29.8036170309253,47.1860785693716,0.850688997564378,31.2821273140392,49.9214986203716,1.03835046668087,33.7827916031303,54.5415255011441
"1381",2015-09-19,"1",7.5,15,"Zinal",0.23588125,0.574925668156118,7.13085192325731,40.888732961239,0.658778798018141,0.14196095361043,0.000269157065618683,0.000308413741498236,8.42683375280358e-05,0.711711390748032,0.0169196411739583,0.23588125,0.351571252593361,3.89633295847888e-06,4.3376755754149e-06,18.3991354568705,0,18.3991354568705,0.592613012313965,0,18.3991354568705,0.175303671657035,38.5416370768136,15.1,49.6,2.45983414449063,10.2030805640358,10.6193735093516,2.54891592039647,14.4192272653131,18.5363773804751,2.64479190453681,16.3814545776799,22.2042893421133,2.66969043402524,23.4438251202597,35.4066571507077,2.71074981604441,29.4805128680004,46.6938648591301
"1440",2015-09-20,"1",7.5,15,"Zinal",0.233809896,0.576105015010618,9.39271421268695,40.9201265311117,0.660130153065039,0.142319588633373,0.000269662000424982,0.00030899233421141,8.44408056606405e-05,0.707764541621185,0.017133175216812,0.233809896,0.357265327385892,4.11068164803423e-06,4.35340020014157e-06,19.4816943155642,0,19.4816943155642,0.603349292203841,0,19.4816943155642,0.461825194527367,38.9118916750295,15.1,49.6,4.3573254352402,14.5808659426472,18.7924048186926,4.5766601904698,17.7008206345714,24.7028735548375,4.60146226714098,18.0466055556308,25.3616500007821,4.7661404136709,20.3775209796019,29.7775269091401,5.63206453405541,32.7439837533738,53.2063138801449
"1499",2015-09-21,"1",7.5,15,"Zinal",0.232597396,0.57728340929855,11.4085452411389,40.9521753173406,0.661480416613169,0.142677965587436,0.000270152368658284,0.000309554215242663,8.46088254423664e-05,0.692839360095439,0.0173441665172168,0.232597396,0.360598444605809,4.23991141326658e-06,4.36911212398067e-06,20.1666731909646,0,20.1666731909646,0.604235472059825,0,20.1666731909646,0.763922073899813,39.2630671443339,15.1,49.6,5.01095770240803,7.85043082302799,6.02970738295228,5.4206749727292,10.4588082969517,11.0414494279609,7.39395013932885,22.9646711621086,35.0706007619402,7.71506432978563,25.0078511964929,38.9986946448291,8.35752468776479,29.0936550914652,46.8490339891078
"1558",2015-09-22,"1",7.5,15,"Zinal",0.230425,0.578460697596131,12.9346920878758,40.9848597453653,0.662829412861829,0.143036041767313,0.000270627950307418,0.000310099109578031,8.47723327032884e-05,0.667571320058952,0.0175523041260498,0.230425,0.366570280082988,4.47851721753928e-06,4.38480930128174e-06,21.3781069832702,0,21.3781069832702,0.616554471140695,0,21.3781069832702,1.07142321756013,39.5767757458027,15.1,49.6,7.32611950809443,13.010457789725,15.7997089864172,8.41198409912275,17.6370300797561,24.7977749796924,9.26583216398814,21.2822036225924,31.88632719296,10.0498327638582,24.6448369961912,38.4348627848186,11.338092793357,30.1460286374345,49.1342959907834
"1617",2015-09-23,"1",7.5,15,"Zinal",0.235123438,0.579636725547273,13.9471384214354,41.0181595353473,0.664176964942038,0.143393774213601,0.000271088488692684,0.000310626824707738,8.49312678570474e-05,0.633061043825905,0.0177572465859726,0.235123438,0.353654449481328,3.97382195462137e-06,4.40048967396364e-06,19.0367891034853,0,19.0367891034853,0.531149152838047,0,19.0367891034853,1.37635168068446,39.8435519322875,15.1,49.6,8.05905583314061,14.0068637256828,19.0987875145176,9.2356300720797,18.0454720291825,27.0321711447973,11.1188471459187,24.5301307692804,39.7646490830882,11.331208948598,25.2639347826589,41.2055229639905,11.8372339485471,27.0219208046915,44.6585801460704
"1676",2015-09-24,"1",7.5,15,"Zinal",0.23285,0.580811337905657,14.5538045537887,41.0520537251327,0.665522894964741,0.14375111972442,0.000271533937978421,0.000311137296461859,8.50855713172845e-05,0.590799273706699,0.0179586653469686,0.23285,0.359904045643153,4.21275737129256e-06,4.41615117207543e-06,20.2532473333364,0,20.2532473333364,0.563772015175742,0,20.2532473333364,1.67387651325723,40.062462920388,15.1,49.6,8.85420431291101,13.7251594821758,18.223714118494,10.9595616553971,20.1755275867709,30.9762382262866,11.2753791164099,21.1383780724901,32.8817424960295,12.4798067371832,24.8368769045944,40.1911296648155,12.479970348927,24.8388718860879,40.1957945453055
"1735",2015-09-25,"1",7.5,15,"Zinal",0.230627083,0.581984378577593,14.8866825723474,41.0865206922485,0.666867024069922,0.144108034867258,0.000271964123989117,0.00031163016732224,8.52352270415183e-05,0.542568374766451,0.0181562195383958,0.230627083,0.366014761462656,4.45593446770091e-06,4.43179171436791e-06,21.4982160926613,0,21.4982160926613,0.574095869187358,0,21.4982160926613,1.96221067374721,40.238400873809,15.1,49.6,7.17385851936113,7.14497929846148,4.76009582628863,8.99789553963688,12.430624828907,15.2603884285044,9.86577836310272,14.9173873275479,20.1966165413629,9.90948138608594,15.0374613280026,20.4339563994444,14.5985228095779,28.5721915059569,47.3113908516456
"1794",2015-09-26,"1",7.5,15,"Zinal",0.22739375,0.583155690665658,15.0502535514562,41.1215381748789,0.668209172476609,0.144464475991014,0.00027237886338213,0.000312105363951823,8.53801456502105e-05,0.490329902809246,0.0183495436483608,0.22739375,0.37490307313278,4.8269492695936e-06,4.44740920887544e-06,23.370290619938,0,23.370290619938,0.604931122734418,0,23.370290619938,2.24187970003987,40.3789913541495,15.1,49.6,9.67221208015412,12.7517050758535,15.1680154635546,9.70256632603069,12.8438969078533,15.3546591139152,11.5777926639358,18.1044968719029,25.8314652546262,14.2032293506325,25.4567760310339,40.4704899940274,14.3753135976689,25.9538208595413,41.462823750082
"1853",2015-09-27,"1",7.5,15,"Zinal",0.225473958,0.584325116513088,15.1135266351759,41.1570832917922,0.66954915953374,0.144820399238262,0.000272777908644892,0.000312562666339438,8.55202492227375e-05,0.436108361915561,0.0185382938727393,0.225473958,0.380180509647303,5.05718112825731e-06,4.46300155350785e-06,24.5708304008082,0,24.5708304008082,0.627237525472269,0,24.5708304008082,2.51483261493688,40.4922833984482,15.1,49.6,9.35186601503729,11.0160856518944,11.2415342031652,10.7854943597407,14.9920827658764,19.179120809623,11.2796302056576,16.3765907039364,21.9392220651014,12.4900865467953,19.7470477335069,28.7193577039708,12.5961840714244,20.0376452527454,29.249883746994
"1912",2015-09-28,"1",7.5,15,"Zinal",0.223655208,0.585492497748912,15.1181039906283,41.1931325612117,0.670886803771875,0.145175760557707,0.000273161177273213,0.000313001771969722,8.56555148412691e-05,0.381880840091509,0.0187220900322264,0.223655208,0.385180185477178,5.2822846607982e-06,4.47856663665216e-06,25.7540259865617,0,25.7540259865617,0.63218694024723,0,25.7540259865617,2.78369013596876,40.5854701725673,15.1,49.6,9.45830717004252,10.6859195907423,10.1108632791437,10.0608215370978,12.3585133028663,13.4564435909448,13.3789338745743,21.601448108393,31.9255471846636,13.8589266005807,22.9336178476101,34.5928982048202,14.8577912883451,25.7173636345076,40.1560166972401
"1971",2015-09-29,"1",7.5,15,"Zinal",0.230576563,0.586657675333781,15.0879011913356,41.2296619186423,0.672221922955716,0.145530515716833,0.000273528412587392,0.000313422644174148,8.57859012537105e-05,0.329480703191932,0.0189005713085004,0.230576563,0.366153639056016,4.46157258063137e-06,4.49410233778375e-06,21.8280634649199,0,21.8280634649199,0.526124888468423,0,21.8280634649199,3.05123111801439,40.6644036286938,15.1,49.6,8.17047410156485,9.59376713122976,9.6552811572555,10.3229665160436,15.6673819638514,21.8242083474515,11.299921113136,18.4130016525611,27.3158402569121,13.7855381275618,25.3901967913297,41.2806505636311,13.8091557972746,25.4451348461625,41.3811887626083
"2030",2015-09-30,"1",7.5,15,"Zinal",0.226029688,0.587820489606508,15.0363849290795,41.2666467336896,0.67355433413743,0.145884620314746,0.00027387956875177,0.000313824989604486,8.59113236640893e-05,0.280521268938043,0.0190733598690425,0.226029688,0.378652828630705,4.98976172115997e-06,4.50960652808677e-06,24.4964270817985,0,24.4964270817985,0.553822178650664,0,24.4964270817985,3.32009971747196,40.7335707394301,15.1,49.6,8.5927158887688,9.44525486901092,8.24126300692586,10.7856660216818,15.6653723574916,20.6992784909546,11.5069024230685,17.7049650955316,24.7776627587912,11.7008077317362,18.2703018305685,25.916855629166,11.8829184408228,18.784009461664,26.9451214099698
"2089",2015-10-01,"1",7.5,15,"Zinal",0.223251042,0.588980780331258,14.9711792187145,41.3040618259268,0.674883853710722,0.146238029795195,0.000274214471590834,0.00031420869825515,8.60317660299242e-05,0.236342726582111,0.0192400802281195,0.223251042,0.386291222717842,5.33324339271672e-06,4.52507707108344e-06,26.2725164172181,0,26.2725164172181,0.567123702685624,0,26.2725164172181,3.59267234247068,40.7962769192612,15.1,49.6,10.6336624565963,14.4884415988767,17.5794983398911,11.0244320862569,15.6231516817151,19.8768375743431,11.732059804272,17.6693018346824,23.9769472067643,11.7618802498724,17.755898581638,24.1486950410664,14.4405925461871,25.4650625938141,39.604952078996
"2148",2015-10-02,"1",7.5,15,"Zinal",0.227797917,0.590138386745389,14.8968098328931,41.341881479885,0.676210297465661,0.146590699459762,0.000274532855257753,0.000314573623452026,8.6147155014158e-05,0.197982857820723,0.0194003404724975,0.227797917,0.373792033143154,4.77943200744291e-06,4.54051182327185e-06,23.624650164915,0,23.624650164915,0.49212188405252,0,23.624650164915,3.87102292152368,40.8548874416053,15.1,49.6,9.3018765628075,12.6068340749392,15.0079719662235,11.5061408842167,19.0677077048609,27.9679769334355,11.8267467896486,19.9950417877693,29.8271466824145,12.0341871889943,20.6073432326862,31.0572194990801,15.1615952554887,29.7446372216652,49.3839092865646
"2207",2015-10-03,"1",7.5,15,"Zinal",0.223604688,0.591293147607912,14.8163029564154,41.3800794592632,0.677533480644194,0.146942584481234,0.00027483486642664,0.000314919600186736,8.62574631153942e-05,0.166169705582517,0.0195537645297468,0.223604688,0.385319063070539,5.28863568743977e-06,4.55590863477216e-06,26.2302811083298,0,26.2302811083298,0.535360622405668,0,26.2302811083298,4.15694011401411,40.9110556453718,15.1,49.6,9.10881078590567,10.7526410191409,10.174914032911,10.7053869804179,15.4989918934472,19.700785014811,10.8941632261189,16.0540332511174,20.8136727265569,11.0357437103953,16.4364591401458,21.6025073605765,13.15032420136,22.7767590249585,34.3127204856366
"2266",2015-10-04,"1",7.5,15,"Zinal",0.226029688,0.592444901248536,14.7321235310242,41.4186290204695,0.678853217996358,0.147293639917123,0.000275119991738096,0.000315246335111049,8.63626055376603e-05,0.14133251239695,0.0196999616600265,0.226029688,0.378652828630705,4.98976172115997e-06,4.57126534998048e-06,24.8313611442409,0,24.8313611442409,0.485938057379511,0,24.8313611442409,4.45196642179478,40.9659120537504,15.1,49.6,11.5845058334336,19.4900583194185,28.3588332587069,11.709345482827,19.8614876662313,29.1023815128298,11.8773751284862,20.3427933240472,30.0692798468318,13.7723426235107,26.1233580586302,41.6884170398825,14.2450187224094,27.5465925206515,44.5394784610219
